# waypointsExp.dat
# This file contains the spawn point definitions for experiments
# Spawn points are defined to be waypoints
# Each spawn point is defined by the following 7 parameters:
# code, name (N/A), lat [deg], lon [deg], airport (N/A), type (RNAV), country code (INT)

@0, N/A, 4.1638590354, -4.1638590354, N/A, RNAV, INT
@6A, N/A, -4.1638590354, 1.99865233699, N/A, RNAV, INT

@6B, N/A, -4.1638590354, 1.91537515629, N/A, RNAV, INT

@6C, N/A, -4.1638590354, 1.83209797558, N/A, RNAV, INT

@6D, N/A, -4.1638590354, 1.74882079487, N/A, RNAV, INT

@6E, N/A, -4.1638590354, 1.66554361416, N/A, RNAV, INT

@6F, N/A, -4.1638590354, 1.58226643345, N/A, RNAV, INT

@6G, N/A, -4.1638590354, 1.49898925275, N/A, RNAV, INT

@6H, N/A, -4.1638590354, 1.41571207204, N/A, RNAV, INT

@6I, N/A, -4.1638590354, 1.33243489133, N/A, RNAV, INT

@6J, N/A, -4.1638590354, 1.24915771062, N/A, RNAV, INT

@6K, N/A, -4.1638590354, 1.16588052991, N/A, RNAV, INT

@6L, N/A, -4.1638590354, 1.0826033492, N/A, RNAV, INT

@6M, N/A, -4.1638590354, 0.999326168497, N/A, RNAV, INT

@6N, N/A, -4.1638590354, 0.916048987789, N/A, RNAV, INT

@6O, N/A, -4.1638590354, 0.832771807081, N/A, RNAV, INT

@6P, N/A, -4.1638590354, 0.749494626373, N/A, RNAV, INT

@6Q, N/A, -4.1638590354, 0.666217445665, N/A, RNAV, INT

@6R, N/A, -4.1638590354, 0.582940264957, N/A, RNAV, INT

@6S, N/A, -4.1638590354, 0.499663084248, N/A, RNAV, INT

@6T, N/A, -4.1638590354, 0.41638590354, N/A, RNAV, INT

@6U, N/A, -4.1638590354, 0.333108722832, N/A, RNAV, INT

@6V, N/A, -4.1638590354, 0.249831542124, N/A, RNAV, INT

@6W, N/A, -4.1638590354, 0.166554361416, N/A, RNAV, INT

@6X, N/A, -4.1638590354, 0.0832771807081, N/A, RNAV, INT

@6Y, N/A, -4.1638590354, 0.0, N/A, RNAV, INT

@6Z, N/A, -4.1638590354, -0.0832771807081, N/A, RNAV, INT

@70, N/A, -4.1638590354, -0.166554361416, N/A, RNAV, INT

@71, N/A, -4.1638590354, -0.249831542124, N/A, RNAV, INT

@72, N/A, -4.1638590354, -0.333108722832, N/A, RNAV, INT

@73, N/A, -4.1638590354, -0.41638590354, N/A, RNAV, INT

@74, N/A, -4.1638590354, -0.499663084248, N/A, RNAV, INT

@75, N/A, -4.1638590354, -0.582940264957, N/A, RNAV, INT

@76, N/A, -4.1638590354, -0.666217445665, N/A, RNAV, INT

